STN_NAM,STN_NAM_DE,TYP_CD,TYP_CD_DES,latitude,longitude
,HAW PAR VILLA MRT STATION,0,MRT,1.2825029023663754,103.78182132858346
,MARINA BAY MRT STATION,0,MRT,1.2752907132793792,103.85517094819433
,MARINE PARADE MRT STATION,0,MRT,1.3045373951378652,103.90801960634326
,STEVENS MRT STATION,0,MRT,1.3200659544796356,103.82602302602902
,MARINA BAY MRT STATION,0,MRT,1.276716204358224,103.85430996241342
,BOTANIC GARDENS MRT STATION,0,MRT,1.322109492078423,103.81498942457867
,CHOA CHU KANG MRT STATION,0,MRT,1.3851720511783259,103.74436906798853
,BISHAN DEPOT,0,MRT,1.3537195823758692,103.8547556609611
,KEAT HONG LRT STATION,0,LRT,1.3786121662041024,103.74905150425118
,ADMIRALTY MRT STATION,0,MRT,1.4405870896705197,103.80097700875262
,REDHILL MRT STATION,0,MRT,1.28961953918264,103.81679002778905
,UPPER CHANGI MRT STATION,0,MRT,1.3417404784409004,103.96147329716982
,EXPO MRT STATION,0,MRT,1.3345493613591368,103.96154622960238
,CHANGI DEPOT,0,MRT,1.3292467566539075,103.95985007895716
,TELOK AYER MRT STATION,0,MRT,1.2822805843081593,103.84831284843662
,NOVENA MRT STATION,0,MRT,1.3204300815335157,103.8438181307777
,BOON LAY MRT STATION,0,MRT,1.3386040235458254,103.70605907172673
,KATONG PARK MRT STATION,0,MRT,1.2978224964035798,103.88618207848289
,TANJONG KATONG MRT STATION,0,MRT,1.2993637230988588,103.89745064543452
,RAFFLES PLACE MRT STATION,0,MRT,1.2840672702030038,103.85145931534953
,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,0,MRT,1.343266226455912,103.89307846079178
